row_id,itemid,label,abbreviation,dbsource,linksto,category,unitname,param_type
1,1435,Sustained Nystamus,0,carevue,chartevents,0,0,0
2,1436,Tactile Disturbances,0,carevue,chartevents,0,0,0
3,1437,Tremor,0,carevue,chartevents,0,0,0
4,1438,Ulnar Pulse [Right],0,carevue,chartevents,0,0,0
5,1439,Visual Disturbances,0,carevue,chartevents,0,0,0
6,1447,Transpulmonary Pres,0,carevue,chartevents,0,0,0
7,1448,Vd/Vt:,0,carevue,chartevents,0,0,0
8,1449,Arterial BP(Rad),0,carevue,chartevents,0,0,0
9,1450,level one,0,carevue,chartevents,0,0,0
10,1451,L girth size,0,carevue,chartevents,0,0,0
11,1452,#1 chest tube irrig.,0,carevue,chartevents,0,0,0
12,1453,CT DRSG,0,carevue,chartevents,0,0,0
13,1454,r hips drsg change,0,carevue,chartevents,0,0,0
14,1455,fingerstick glucose,0,carevue,chartevents,0,0,0
15,1456,popliteal pulse r/l,0,carevue,chartevents,0,0,0
16,1457,CPAP,0,carevue,chartevents,0,0,0
17,1458,L ankle dsg change,0,carevue,chartevents,0,0,0
18,1459,gluteral drsg change,0,carevue,chartevents,0,0,0
19,1460,D5W 100meq NaHC03,0,carevue,chartevents,0,0,0
20,1462,wrist  restraints,0,carevue,chartevents,0,0,0
21,1463,pad count,0,carevue,chartevents,0,0,0
22,1464,ZZZly Wake Up,0,carevue,chartevents,0,0,0
23,1465,Back Dsg,0,carevue,chartevents,0,0,0
24,1466,ATC,0,carevue,chartevents,0,0,0
25,1467,Pericare,0,carevue,chartevents,0,0,0
26,1468,HI/Minute/Vol/alarm,0,carevue,chartevents,0,0,0
27,1,% Inspir. Time,0,carevue,chartevents,0,0,0
28,2,ABI (L),0,carevue,chartevents,0,0,0
29,3,ABI (R),0,carevue,chartevents,0,0,0
30,4,ABI Ankle BP [Right],0,carevue,chartevents,0,0,0
31,5,ABI Brachial BP [Right],0,carevue,chartevents,0,0,0
32,6,ABP [Systolic],0,carevue,chartevents,0,0,0
33,24,ART Lumen Volume,0,carevue,chartevents,0,0,0
34,25,AV Interval,0,carevue,chartevents,0,0,0
35,26,AaDO2,0,carevue,chartevents,0,0,0
36,27,Abdominal Assessment,0,carevue,chartevents,0,0,0
37,28,Abdominal Girth,0,carevue,chartevents,0,0,0
38,29,Access mmHg,0,carevue,chartevents,0,0,0
39,31,Activity,0,carevue,chartevents,0,0,0
40,32,Activity Tolerance,0,carevue,chartevents,0,0,0
41,34,Add Gas Flow (Vent),0,carevue,chartevents,0,0,0
42,35,Additional Gas (lpm),0,carevue,chartevents,0,0,0
43,36,Additional Gas(Mask),0,carevue,chartevents,0,0,0
44,37,Additional Gas(Vent),0,carevue,chartevents,0,0,0
45,38,Airway,0,carevue,chartevents,0,0,0
46,39,Airway Size,0,carevue,chartevents,0,0,0
47,40,Airway Type,0,carevue,chartevents,0,0,0
48,41,Alarms Activated,0,carevue,chartevents,0,0,0
49,43,Angio Appearance #1 [Attribute 1],0,carevue,chartevents,0,0,0
50,44,Angio Appearance #2 [Attribute 1],0,carevue,chartevents,0,0,0
51,45,Angio Dressing #1,0,carevue,chartevents,0,0,0
